f 0.800000 0.800000 0.800000 
0 41 3 snow
0 41 4 snow
0 41 5 snow
0 41 6 snow
0 41 7 snow
0 41 8 snow
0 41 9 snow
0 42 0 snow
0 42 1 snow
0 42 2 snow
0 42 3 snow
0 42 4 snow
0 42 5 snow
0 42 6 snow
0 42 7 snow
0 42 8 snow
0 42 9 snow
0 43 0 snow
0 43 1 snow
0 43 2 snow
0 43 3 snow
0 43 4 snow
0 43 5 snow
0 43 6 snow
0 43 7 snow
0 43 8 snow
0 43 9 snow
0 44 0 snow
0 44 1 snow
0 44 2 snow
0 44 3 snow
0 44 4 snow
0 44 5 snow
0 44 6 snow
0 44 7 snow
0 44 8 snow
0 44 9 snow
0 45 0 snow
0 45 1 snow
0 45 2 snow
0 45 3 snow
0 45 4 snow
0 45 5 snow
0 45 6 snow
0 45 7 snow
0 45 8 snow
0 45 9 snow
0 46 0 snow
0 46 1 snow
0 46 2 snow
0 46 3 snow
0 46 4 snow
0 46 5 snow
0 46 6 snow
0 46 7 snow
0 46 8 snow
0 46 9 snow
0 47 0 snow
0 47 1 snow
0 47 2 snow
0 47 3 snow
0 47 4 snow
0 47 5 snow
0 47 6 snow
0 47 7 snow
0 47 8 snow
0 47 9 snow
0 48 0 snow
0 48 1 snow
0 48 2 snow
0 48 3 snow
0 48 4 snow
0 48 5 snow
0 48 6 snow
0 48 7 snow
0 48 8 snow
0 48 9 snow
0 49 0 snow
0 49 1 snow
0 49 2 snow
0 49 3 snow
0 49 4 snow
0 49 5 snow
0 49 6 snow
0 49 7 snow
0 49 8 snow
0 49 9 snow
0 50 0 snow
0 50 1 snow
0 50 2 snow
0 50 3 snow
0 50 4 snow
0 50 5 snow
0 50 6 snow
0 50 7 snow
0 50 8 snow
0 50 9 snow
0 51 0 snow
0 51 1 snow
0 51 2 snow
0 51 3 snow
0 51 4 snow
0 51 5 snow
0 51 6 snow
0 51 7 snow
0 51 8 snow
0 51 9 snow
0 52 0 snow
0 52 1 snow
0 52 2 snow
0 52 3 snow
0 52 4 snow
0 52 5 snow
0 52 6 snow
0 52 7 snow
0 52 8 snow
0 52 9 snow
0 53 0 snow
0 53 1 snow
0 53 2 snow
0 53 3 snow
0 53 4 snow
0 53 5 snow
0 53 6 snow
0 53 7 snow
0 53 8 snow
0 53 9 snow
0 54 0 snow
0 54 1 snow
0 54 2 snow
0 54 3 snow
0 54 4 snow
0 54 5 snow
0 54 6 snow
0 54 7 snow
0 54 8 snow
0 54 9 snow
0 55 0 snow
0 55 1 snow
0 55 2 snow
0 55 3 snow
0 55 4 snow
0 55 5 snow
0 55 6 snow
0 55 7 snow
0 55 8 snow
0 55 9 snow
0 56 0 snow
0 56 1 snow
0 56 2 snow
0 56 3 snow
0 56 4 snow
0 56 5 snow
0 56 6 snow
0 56 7 snow
0 56 8 snow
0 56 9 snow
0 57 0 snow
0 57 1 snow
0 57 2 snow
0 57 3 snow
0 57 4 snow
0 57 5 snow
0 57 6 snow
0 57 7 snow
0 57 8 snow
0 57 9 snow
0 58 0 snow
0 58 1 snow
0 58 2 snow
0 58 3 snow
0 58 4 snow
0 58 5 snow
0 58 6 snow
0 58 7 snow
0 58 8 snow
0 58 9 snow
0 59 0 snow
0 59 1 snow
0 59 2 snow
0 59 3 snow
0 59 4 snow
0 59 5 snow
0 59 6 snow
0 59 7 snow
0 59 8 snow
0 59 9 snow
0 60 0 snow
0 60 1 snow
0 60 2 snow
0 60 3 snow
0 60 4 snow
0 60 5 snow
0 60 6 snow
0 60 7 snow
0 60 8 snow
0 60 9 snow
0 61 0 snow
0 61 1 snow
0 61 2 snow
0 61 3 snow
0 61 4 snow
0 61 5 snow
0 61 6 snow
0 61 7 snow
0 61 8 snow
0 61 9 snow
0 62 0 snow
0 62 1 snow
0 62 2 snow
0 62 3 snow
0 62 4 snow
0 62 5 snow
0 62 6 snow
0 62 7 snow
0 62 8 snow
0 62 9 snow
0 63 0 snow
0 63 1 snow
0 63 2 snow
0 63 3 snow
0 63 4 snow
0 63 5 snow
0 63 6 snow
0 63 7 snow
0 63 8 snow
0 63 9 snow
0 64 0 snow
0 64 1 snow
0 64 2 snow
0 64 3 snow
0 64 4 snow
0 64 5 snow
0 64 6 snow
0 64 7 snow
0 64 8 snow
0 64 9 snow
0 65 0 snow
0 65 1 snow
0 65 2 snow
0 65 3 snow
0 65 4 snow
0 65 5 snow
0 65 6 snow
0 65 7 snow
0 65 8 snow
0 65 9 snow
0 66 0 snow
0 66 1 snow
0 66 2 snow
0 66 3 snow
0 66 4 snow
0 66 5 snow
0 66 6 snow
0 66 7 snow
0 66 8 snow
0 66 9 snow
0 67 0 snow
0 67 1 snow
0 67 2 snow
0 67 3 snow
0 67 4 snow
0 67 5 snow
0 67 6 snow
0 67 7 snow
0 67 8 snow
0 67 9 snow
0 68 0 snow
0 68 1 snow
0 68 2 snow
0 68 3 snow
0 68 4 snow
0 68 5 snow
0 68 6 snow
0 68 7 snow
0 68 8 snow
0 68 9 snow
0 69 0 snow
0 69 1 snow
0 69 2 snow
0 69 3 snow
0 69 4 snow
0 69 5 snow
0 69 6 snow
0 69 7 snow
0 69 8 snow
0 69 9 snow
0 70 0 snow
0 70 1 snow
0 70 2 snow
0 70 3 snow
0 70 4 snow
0 70 5 snow
0 70 6 snow
0 70 7 snow
0 70 8 snow
0 70 9 snow
0 71 0 snow
0 71 1 snow
0 71 2 snow
0 71 3 snow
0 71 4 snow
0 71 5 snow
0 71 6 snow
0 71 7 snow
0 71 8 snow
0 71 9 snow
0 72 0 snow
0 72 1 snow
0 72 2 snow
0 72 3 snow
0 72 4 snow
0 72 5 snow
0 72 6 snow
0 72 7 snow
0 72 8 snow
0 72 9 snow
0 73 0 snow
0 73 1 snow
0 73 2 snow
0 73 3 snow
0 73 4 snow
0 73 5 snow
0 73 6 snow
0 73 7 snow
0 73 8 snow
0 73 9 snow
0 74 0 snow
0 74 1 snow
0 74 2 snow
0 74 3 snow
0 74 4 snow
0 74 5 snow
0 74 6 snow
0 74 7 snow
0 74 8 snow
0 74 9 snow
0 75 0 snow
0 75 1 snow
0 75 2 snow
0 75 3 snow
0 75 4 snow
0 75 5 snow
0 75 6 snow
0 75 7 snow
0 75 8 snow
0 75 9 snow
0 76 0 snow
0 76 1 snow
0 76 2 snow
0 76 3 snow
0 76 4 snow
0 76 5 snow
0 76 6 snow
0 76 7 snow
0 76 8 snow
0 76 9 snow
0 77 0 snow
0 77 1 snow
0 77 2 snow
0 77 3 snow
0 77 4 snow
0 77 5 snow
0 77 6 snow
0 77 7 snow
0 77 8 snow
0 77 9 snow
0 78 0 snow
0 78 1 snow
0 78 2 snow
0 78 3 snow
0 78 4 snow
0 78 5 snow
0 78 6 snow
0 78 7 snow
0 78 8 snow
0 78 9 snow
0 79 0 snow
0 79 1 snow
0 79 2 snow
0 79 3 snow
0 79 4 snow
0 79 5 snow
0 79 6 snow
0 79 7 snow
0 79 8 snow
0 79 9 snow
0 80 0 snow
0 80 1 snow
0 80 2 snow
0 80 3 snow
0 80 4 snow
0 80 5 snow
0 80 6 snow
0 80 7 snow
0 80 8 snow
0 80 9 snow
0 81 0 snow
0 81 1 snow
0 81 2 snow
0 81 3 snow
0 81 4 snow
0 81 5 snow
0 81 6 snow
0 81 7 snow
0 81 8 snow
0 81 9 snow
0 82 0 snow
0 82 1 snow
0 82 2 snow
0 82 3 snow
0 82 4 snow
0 82 5 snow
0 82 6 snow
0 82 7 snow
0 82 8 snow
0 82 9 snow
0 83 0 snow
0 83 1 snow
0 83 2 snow
0 83 3 snow
0 83 4 snow
0 83 5 snow
0 83 6 snow
0 83 7 snow
0 83 8 snow
0 83 9 snow
0 84 0 snow
0 84 1 snow
0 84 2 snow
0 84 3 snow
0 84 4 snow
0 84 5 snow
0 84 6 snow
0 84 7 snow
0 84 8 snow
0 84 9 snow
0 85 0 snow
0 85 1 snow
0 85 2 snow
0 85 3 snow
0 85 4 snow
0 85 5 snow
0 85 6 snow
0 85 7 snow
0 85 8 snow
0 85 9 snow
0 86 0 snow
0 86 1 snow
0 86 2 snow
0 86 3 snow
0 86 4 snow
0 86 5 snow
0 86 6 snow
0 86 7 snow
0 86 8 snow
0 86 9 snow
0 87 0 snow
0 87 1 snow
0 87 2 snow
0 87 3 snow
0 87 4 snow
0 87 5 snow
0 87 6 snow
0 87 7 snow
0 87 8 snow
0 87 9 snow
0 88 0 snow
0 88 1 snow
0 88 2 snow
0 88 3 snow
0 88 4 snow
0 88 5 snow
0 88 6 snow
0 88 7 snow
0 88 8 snow
0 88 9 snow
0 89 0 snow
0 89 1 snow
0 89 2 snow
0 89 3 snow
0 89 4 snow
0 89 5 snow
0 89 6 snow
0 89 7 snow
0 89 8 snow
0 89 9 snow
0 90 0 snow
0 90 1 snow
0 90 2 snow
0 90 3 snow
0 90 4 snow
0 90 5 snow
0 90 6 snow
0 90 7 snow
0 90 8 snow
0 90 9 snow
0 91 0 snow
0 91 1 snow
0 91 2 snow
0 91 3 snow
0 91 4 snow
0 91 5 snow
0 91 6 snow
0 91 7 snow
0 91 8 snow
0 91 9 snow
0 92 0 snow
0 92 1 snow
0 92 2 snow
0 92 3 snow
0 92 4 snow
0 92 5 snow
0 92 6 snow
0 92 7 snow
0 92 8 snow
0 92 9 snow
0 93 0 snow
0 93 1 snow
0 93 2 snow
0 93 3 snow
0 93 4 snow
0 93 5 snow
0 93 6 snow
0 93 7 snow
0 93 8 snow
0 93 9 snow
0 94 0 snow
0 94 1 snow
0 94 2 snow
0 94 3 snow
0 94 4 snow
0 94 5 snow
0 94 6 snow
0 94 7 snow
0 94 8 snow
0 94 9 snow
0 95 0 snow
0 95 1 snow
0 95 2 snow
0 95 3 snow
0 95 4 snow
0 95 5 snow
0 95 6 snow
0 95 7 snow
0 95 8 snow
0 95 9 snow
0 96 0 snow
0 96 1 snow
0 96 2 snow
0 96 3 snow
0 96 4 snow
0 96 5 snow
0 96 6 snow
0 96 7 snow
0 96 8 snow
0 96 9 snow
0 97 0 snow
0 97 1 snow
0 97 2 snow
0 97 3 snow
0 97 4 snow
0 97 5 snow
0 97 6 snow
0 97 7 snow
0 97 8 snow
0 97 9 snow
0 98 0 snow
0 98 1 snow
0 98 2 snow
0 98 3 snow
0 98 4 snow
0 98 5 snow
0 98 6 snow
0 98 7 snow
0 98 8 snow
0 98 9 snow
0 99 0 snow
0 99 1 snow
0 99 2 snow
0 99 3 snow
0 99 4 snow
0 99 5 snow
0 99 6 snow
0 99 7 snow
0 99 8 snow
0 99 9 snow
1 0 0 snow
1 0 1 snow
1 0 2 snow
1 0 3 snow
1 0 4 snow
1 0 5 snow
1 0 6 snow
1 0 7 snow
1 0 8 snow
1 1 0 snow
1 1 1 snow
1 1 2 snow
1 1 3 snow
1 1 4 snow
1 1 5 snow
1 1 6 snow
1 1 7 snow
1 1 8 snow
1 2 0 snow
1 2 1 snow
1 2 2 snow
1 2 3 snow
1 2 4 snow
1 2 5 snow
1 2 6 snow
1 2 7 snow
1 2 8 snow
1 3 0 snow
1 3 1 snow
1 3 2 snow
1 3 3 snow
1 3 4 snow
1 3 5 snow
1 3 6 snow
1 3 7 snow
1 3 8 snow
1 4 0 snow
1 4 1 snow
1 4 2 snow
1 4 3 snow
1 4 4 snow
1 4 5 snow
1 4 6 snow
1 4 7 snow
1 4 8 snow
1 5 0 snow
1 5 1 snow
1 5 2 snow
1 5 3 snow
1 5 4 snow
1 5 5 snow
1 5 6 snow
1 5 7 snow
1 5 8 snow
1 6 0 snow
1 6 1 snow
1 6 2 snow
1 6 3 snow
1 6 4 snow
1 6 5 snow
1 6 6 snow
1 6 7 snow
1 6 8 snow
1 7 0 snow
1 7 1 snow
1 7 2 snow
1 7 3 snow
1 7 4 snow
1 7 5 snow
1 7 6 snow
1 7 7 snow
1 7 8 snow
1 8 0 snow
1 8 1 snow
1 8 2 snow
1 8 3 snow
1 8 4 snow
1 8 5 snow
1 8 6 snow
1 8 7 snow
1 8 8 snow
1 9 0 snow
1 9 1 snow
1 9 2 snow
1 9 3 snow
1 9 4 snow
1 9 5 snow
1 9 6 snow
1 9 7 snow
1 9 8 snow
1 10 0 snow
1 10 1 snow
1 10 2 snow
1 10 3 snow
1 10 4 snow
1 10 5 snow
1 10 6 snow
1 10 7 snow
1 10 8 snow
1 11 0 snow
1 11 1 snow
1 11 2 snow
1 11 3 snow
1 11 4 snow
1 11 5 snow
1 11 6 snow
1 11 7 snow
1 11 8 snow
1 12 0 snow
1 12 1 snow
1 12 2 snow
1 12 3 snow
1 12 4 snow
1 12 5 snow
1 12 6 snow
1 12 7 snow
1 12 8 snow
1 13 0 snow
1 13 1 snow
1 13 2 snow
1 13 3 snow
1 13 4 snow
1 13 5 snow
1 13 6 snow
1 13 7 snow
1 13 8 snow
1 14 0 snow
1 14 1 snow
1 14 2 snow
1 14 3 snow
1 14 4 snow
1 14 5 snow
1 14 6 snow
1 14 7 snow
1 14 8 snow
1 15 0 snow
1 15 1 snow
1 15 2 snow
1 15 3 snow
1 15 4 snow
1 15 5 snow
1 15 6 snow
1 15 7 snow
1 15 8 snow
1 16 0 snow
1 16 1 snow
1 16 2 snow
1 16 3 snow
1 16 4 snow
1 16 5 snow
1 16 6 snow
1 16 7 snow
1 16 8 snow
1 17 0 snow
1 17 1 snow
1 17 2 snow
1 17 3 snow
1 17 4 snow
1 17 5 snow
1 17 6 snow
1 17 7 snow
1 17 8 snow
1 18 0 snow
1 18 1 snow
1 18 2 snow
1 18 3 snow
1 18 4 snow
1 18 5 snow
1 18 6 snow
1 18 7 snow
1 18 8 snow
1 19 0 snow
1 19 1 snow
1 19 2 snow
1 19 3 snow
1 19 4 snow
1 19 5 snow
1 19 6 snow
1 19 7 snow
1 19 8 snow
1 20 0 snow
1 20 1 snow
1 20 2 snow
1 20 3 snow
1 20 4 snow
1 20 5 snow
1 20 6 snow
1 20 7 snow
1 20 8 snow
1 21 0 snow
1 21 1 snow
1 21 2 snow
1 21 3 snow
1 21 4 snow
1 21 5 snow
1 21 6 snow
1 21 7 snow
1 21 8 snow
1 22 0 snow
1 22 1 snow
1 22 2 snow
1 22 3 snow
1 22 4 snow
1 22 5 snow
1 22 6 snow
1 22 7 snow
1 22 8 snow
1 23 0 snow
1 23 1 snow
1 23 2 snow
1 23 3 snow
1 23 4 snow
1 23 5 snow
1 23 6 snow
1 23 7 snow
1 23 8 snow
1 24 0 snow
1 24 1 snow
1 24 2 snow
1 24 3 snow
1 24 4 snow
1 24 5 snow
1 24 6 snow
1 24 7 snow
1 24 8 snow
1 25 0 snow
1 25 1 snow
1 25 2 snow
1 25 3 snow
1 25 4 snow
1 25 5 snow
1 25 6 snow
1 25 7 snow
1 25 8 snow
1 26 0 snow
1 26 1 snow
1 26 2 snow
1 26 3 snow
1 26 4 snow
1 26 5 snow
1 26 6 snow
1 26 7 snow
1 26 8 snow
1 27 0 snow
1 27 1 snow
1 27 2 snow
1 27 3 snow
1 27 4 snow
1 27 5 snow
1 27 6 snow
1 27 7 snow
1 27 8 snow
1 27 9 snow
1 28 0 snow
1 28 1 snow
1 28 2 snow
1 28 3 snow
1 28 4 snow
1 28 5 snow
1 28 6 snow
1 28 7 snow
1 28 8 snow
1 28 9 snow
1 29 0 snow
1 29 1 snow
1 29 2 snow
1 29 3 snow
1 29 4 snow
1 29 5 snow
1 29 6 snow
1 29 7 snow
1 29 8 snow
1 29 9 snow
1 30 0 snow
1 30 1 snow
1 30 2 snow
1 30 3 snow
1 30 4 snow
1 30 5 snow
1 30 6 snow
1 30 7 snow
1 30 8 snow
1 30 9 snow
1 31 0 snow
1 31 1 snow
1 31 2 snow
1 31 3 snow
1 31 4 snow
1 31 5 snow
1 31 6 snow
1 31 7 snow
1 31 8 snow
1 31 9 snow
1 32 0 snow
1 32 1 snow
1 32 2 snow
1 32 3 snow
1 32 4 snow
1 32 5 snow
1 32 6 snow
1 32 7 snow
1 32 8 snow
1 32 9 snow
1 33 0 snow
1 33 1 snow
1 33 2 snow
1 33 3 snow
1 33 4 snow
1 33 5 snow
1 33 6 snow
1 33 7 snow
1 33 8 snow
1 33 9 snow
1 34 0 snow
1 34 1 snow
1 34 2 snow
1 34 3 snow
1 34 4 snow
1 34 5 snow
1 34 6 snow
1 34 7 snow
1 34 8 snow
1 34 9 snow
1 35 0 snow
1 35 1 snow
1 35 2 snow
1 35 3 snow
1 35 4 snow
1 35 5 snow
1 35 6 snow
1 35 7 snow
1 35 8 snow
1 35 9 snow
1 36 0 snow
1 36 1 snow
1 36 2 snow
1 36 3 snow
1 36 4 snow
1 36 5 snow
1 36 6 snow
1 36 7 snow
1 36 8 snow
1 36 9 snow
1 37 0 snow
1 37 1 snow
1 37 2 snow
1 37 3 snow
1 37 4 snow
1 37 5 snow
1 37 6 snow
1 37 7 snow
1 37 8 snow
1 37 9 snow
1 38 0 snow
1 38 1 snow
1 38 2 snow
1 38 3 snow
1 38 4 snow
1 38 5 snow
1 38 6 snow
1 38 7 snow
1 38 8 snow
1 38 9 snow
1 39 0 snow
1 39 1 snow
1 39 2 snow
1 39 3 snow
1 39 4 snow
1 39 5 snow
1 39 6 snow
1 39 7 snow
1 39 8 snow
1 39 9 snow
1 40 0 snow
1 40 1 snow
1 40 2 snow
1 40 3 snow
1 40 4 snow
1 40 5 snow
1 40 6 snow
1 40 7 snow
1 40 8 snow
1 40 9 snow
1 41 0 snow
1 41 1 snow
1 41 2 snow
1 41 3 snow
1 41 4 snow
1 41 5 snow
1 41 6 snow
1 41 7 snow
1 41 8 snow
1 41 9 snow
1 42 0 snow
1 42 1 snow
1 42 2 snow
1 42 3 snow
1 42 4 snow
1 42 5 snow
1 42 6 snow
1 42 7 snow
1 42 8 snow
1 42 9 snow
1 43 0 snow
1 43 1 snow
1 43 2 snow
1 43 3 snow
1 43 4 snow
1 43 5 snow
1 43 6 snow
1 43 7 snow
1 43 8 snow
1 43 9 snow
1 44 0 snow
1 44 1 snow
1 44 2 snow
1 44 3 snow
1 44 4 snow
1 44 5 snow
1 44 6 snow
1 44 7 snow
1 44 8 snow
1 44 9 snow
1 45 0 snow
1 45 1 snow
1 45 2 snow
1 45 3 snow
1 45 4 snow
1 45 5 snow
1 45 6 snow
1 45 7 snow
1 45 8 snow
1 45 9 snow
1 46 0 snow
1 46 1 snow
1 46 2 snow
1 46 3 snow
1 46 4 snow
1 46 5 snow
1 46 6 snow
1 46 7 snow
1 46 8 snow
1 46 9 snow
1 47 0 snow
1 47 1 snow
1 47 2 snow
1 47 3 snow
1 47 4 snow
1 47 5 snow
1 47 6 snow
1 47 7 snow
1 47 8 snow
1 47 9 snow
1 48 0 snow
1 48 1 snow
1 48 2 snow
1 48 3 snow
1 48 4 snow
1 48 5 snow
1 48 6 snow
1 48 7 snow
1 48 8 snow
1 48 9 snow
1 49 0 snow
1 49 1 snow
1 49 2 snow
1 49 3 snow
1 49 4 snow
1 49 5 snow
1 49 6 snow
1 49 7 snow
1 49 8 snow
1 49 9 snow
1 50 0 snow
1 50 1 snow
1 50 2 snow
1 50 3 snow
1 50 4 snow
1 50 5 snow
1 50 6 snow
1 50 7 snow
1 50 8 snow
1 50 9 snow
1 51 0 snow
1 51 1 snow
1 51 2 snow
1 51 3 snow
1 51 4 snow
1 51 5 snow
1 51 6 snow
1 51 7 snow
1 51 8 snow
1 51 9 snow
1 52 0 snow
1 52 1 snow
1 52 2 snow
1 52 3 snow
1 52 4 snow
1 52 5 snow
1 52 6 snow
1 52 7 snow
1 52 8 snow
1 52 9 snow
1 53 0 snow
1 53 1 snow
1 53 2 snow
1 53 3 snow
1 53 4 snow
1 53 5 snow
1 53 6 snow
1 53 7 snow
1 53 8 snow
1 53 9 snow
1 54 0 snow
1 54 1 snow
1 54 2 snow
1 54 3 snow
1 54 4 snow
1 54 5 snow
1 54 6 snow
1 54 7 snow
1 54 8 snow
1 54 9 snow
1 55 0 snow
1 55 1 snow
1 55 2 snow
1 55 3 snow
1 55 4 snow
1 55 5 snow
1 55 6 snow
1 55 7 snow
1 55 8 snow
1 55 9 snow
1 56 0 snow
1 56 1 snow
1 56 2 snow
1 56 3 snow
1 56 4 snow
1 56 5 snow
1 56 6 snow
1 56 7 snow
1 56 8 snow
1 56 9 snow
1 57 0 snow
1 57 1 snow
1 57 2 snow
1 57 3 snow
1 57 4 snow
1 57 5 snow
1 57 6 snow
1 57 7 snow
1 57 8 snow
1 57 9 snow
1 58 0 snow
1 58 1 snow
1 58 2 snow
1 58 3 snow
1 58 4 snow
1 58 5 snow
1 58 6 snow
1 58 7 snow
1 58 8 snow
1 58 9 snow
1 59 0 snow
1 59 1 snow
1 59 2 snow
1 59 3 snow
1 59 4 snow
1 59 5 snow
1 59 6 snow
1 59 7 snow
1 59 8 snow
1 59 9 snow
1 60 0 snow
1 60 1 snow
1 60 2 snow
1 60 3 snow
1 60 4 snow
